Timestamp,Resistance (Ohms),Force (g)
1686273437.5131872,inf,0.0
1686273437.5146399,inf,0.0
1686273437.515743,inf,0.0
1686273437.5165231,inf,0.0
1686273437.516974,inf,0.0
1686273437.517341,inf,0.0
1686273437.517947,inf,0.0
1686273437.5183291,inf,0.0
1686273437.518614,inf,0.0
1686273437.519077,inf,0.0
1686273437.519477,inf,0.0
1686273437.5198221,inf,0.0
1686273437.520156,inf,0.0
1686273437.520475,inf,0.0
1686273437.52095,inf,0.0
1686273437.521483,inf,0.0
1686273437.5219278,inf,0.0
1686273437.522271,inf,0.0
1686273437.522578,inf,0.0
1686273437.522916,inf,0.0
1686273437.523277,inf,0.0
1686273437.5235782,inf,0.0
1686273437.5238762,inf,0.0
1686273437.524151,inf,0.0
1686273437.52443,inf,0.0
1686273437.524704,inf,0.0
1686273437.524971,inf,0.0
1686273437.525234,inf,0.0
1686273437.525486,inf,0.0
1686273437.525734,inf,0.0
1686273437.525982,inf,0.0
1686273437.526322,inf,0.0
1686273437.526569,inf,0.0
1686273437.52686,inf,0.0
1686273437.5271091,inf,0.0
1686273437.5273411,inf,0.0
1686273437.527584,inf,0.0
1686273437.5278552,inf,0.0
1686273437.5281081,inf,0.0
1686273437.528364,inf,0.0
1686273437.5286222,inf,0.0
1686273437.528872,inf,0.0
1686273437.529127,inf,0.0
1686273437.529387,inf,0.0
1686273437.52963,inf,0.0
1686273437.529878,inf,0.0
1686273437.530112,inf,0.0
1686273437.5303319,inf,0.0
1686273437.5305521,inf,0.0
1686273437.530771,inf,0.0
1686273437.5309849,inf,0.0
1686273437.540011,inf,0.0
1686273437.548379,inf,0.0
1686273437.5604951,inf,0.0
1686273437.568722,inf,0.0
1686273437.580977,inf,0.0
1686273437.5892212,inf,0.0
1686273437.601453,inf,0.0
1686273437.613707,inf,0.0
1686273437.62199,inf,0.0
1686273437.634154,inf,0.0
1686273437.642402,inf,0.0
1686273437.6548119,inf,0.0
1686273437.663181,inf,0.0
1686273437.675196,inf,0.0
1686273437.683379,inf,0.0
1686273437.6956549,inf,0.0
1686273437.704109,inf,0.0
1686273437.716328,inf,0.0
1686273437.724364,inf,0.0
1686273437.736562,inf,0.0
1686273437.74483,inf,0.0
1686273437.75704,inf,0.0
1686273437.769322,inf,0.0
1686273437.7776089,inf,0.0
1686273437.789748,inf,0.0
1686273437.798076,inf,0.0
1686273437.810344,inf,0.0
1686273437.818681,inf,0.0
1686273437.830894,inf,0.0
1686273437.839314,inf,0.0
1686273437.851251,inf,0.0
1686273437.85945,inf,0.0
1686273437.8717701,inf,0.0
1686273437.879955,inf,0.0
1686273437.892242,inf,0.0
1686273437.9004202,inf,0.0
1686273437.912891,inf,0.0
1686273437.925017,inf,0.0
1686273437.933176,inf,0.0
1686273437.9454908,inf,0.0
1686273437.9536698,inf,0.0
1686273437.965964,inf,0.0
1686273437.974132,inf,0.0
1686273437.98649,inf,0.0
1686273437.994692,inf,0.0
1686273438.007133,inf,0.0
1686273438.015211,inf,0.0
1686273438.027495,inf,0.0
1686273438.035599,inf,0.0
1686273438.047937,inf,0.0
1686273438.060226,inf,0.0
1686273438.068377,inf,0.0
1686273438.080647,inf,0.0
1686273438.08882,inf,0.0
1686273438.101606,inf,0.0
1686273438.1093838,inf,0.0
1686273438.121668,inf,0.0
1686273438.12983,inf,0.0
1686273438.1420631,inf,0.0
1686273438.150313,inf,0.0
1686273438.162598,inf,0.0
1686273438.17079,inf,0.0
1686273438.1830988,inf,0.0
1686273438.1914072,inf,0.0
1686273438.2035809,inf,0.0
1686273438.215843,inf,0.0
1686273438.224023,inf,0.0
1686273438.2363148,inf,0.0
1686273438.244512,inf,0.0
1686273438.258704,inf,0.0
1686273438.267054,inf,0.0
1686273438.277269,inf,0.0
1686273438.285467,inf,0.0
1686273438.29773,inf,0.0
1686273438.306064,inf,0.0
1686273438.318254,inf,0.0
1686273438.3264399,inf,0.0
1686273438.338666,inf,0.0
1686273438.351147,inf,0.0
1686273438.359295,inf,0.0
1686273438.3714628,inf,0.0
1686273438.379657,inf,0.0
1686273438.391967,inf,0.0
1686273438.400098,inf,0.0
1686273438.412443,inf,0.0
1686273438.420605,inf,0.0
1686273438.432867,inf,0.0
1686273438.4411368,inf,0.0
1686273438.453315,inf,0.0
1686273438.461617,inf,0.0
1686273438.4738681,inf,0.0
1686273438.4820569,inf,0.0
1686273438.4943612,inf,0.0
1686273438.506708,inf,0.0
1686273438.514821,inf,0.0
1686273438.5270772,inf,0.0
1686273438.53525,inf,0.0
1686273438.547541,inf,0.0
1686273438.555789,inf,0.0
1686273438.568044,inf,0.0
1686273438.576252,inf,0.0
1686273438.588555,inf,0.0
1686273438.596726,inf,0.0
1686273438.609028,inf,0.0
1686273438.617229,inf,0.0
1686273438.629538,inf,0.0
1686273438.637663,inf,0.0
1686273438.650433,inf,0.0
1686273438.6623108,inf,0.0
1686273438.6705222,inf,0.0
1686273438.682728,inf,0.0
1686273438.6910222,inf,0.0
1686273438.703216,inf,0.0
1686273438.711432,inf,0.0
1686273438.7237172,inf,0.0
1686273438.73198,inf,0.0
1686273438.7445152,inf,0.0
1686273438.752474,inf,0.0
1686273438.764708,inf,0.0
1686273438.77279,inf,0.0
1686273438.7850938,inf,0.0
1686273438.797385,inf,0.0
1686273438.805588,inf,0.0
1686273438.817895,inf,0.0
1686273438.826058,inf,0.0
1686273438.838391,inf,0.0
1686273438.846694,inf,0.0
1686273438.858838,inf,0.0
1686273438.867033,inf,0.0
1686273438.879306,inf,0.0
1686273438.8875468,inf,0.0
1686273438.8998022,inf,0.0
1686273438.907979,inf,0.0
1686273438.9202611,inf,0.0
1686273438.928549,inf,0.0
1686273438.940768,inf,0.0
1686273438.953009,inf,0.0
1686273438.9612448,inf,0.0
1686273438.9735732,inf,0.0
1686273438.9825861,inf,0.0
1686273438.994119,inf,0.0
1686273439.0022411,inf,0.0
1686273439.014538,inf,0.0
1686273439.0226402,inf,0.0
1686273439.034979,inf,0.0
1686273439.0432022,inf,0.0
1686273439.05543,inf,0.0
1686273439.0636318,inf,0.0
1686273439.075958,inf,0.0
1686273439.0841238,inf,0.0
1686273439.09646,inf,0.0
1686273439.1086662,inf,0.0
1686273439.116975,inf,0.0
1686273439.1292002,inf,0.0
1686273439.137553,inf,0.0
1686273439.1496599,inf,0.0
1686273439.157856,inf,0.0
1686273439.17009,inf,0.0
1686273439.1783612,inf,0.0
1686273439.190594,inf,0.0
1686273439.198802,inf,0.0
1686273439.211071,inf,0.0
1686273439.219373,inf,0.0
1686273439.231605,inf,0.0
1686273439.243914,inf,0.0
1686273439.252067,inf,0.0
1686273439.264516,inf,0.0
1686273439.272546,inf,0.0
1686273439.2847471,inf,0.0
1686273439.292972,inf,0.0
1686273439.3053818,inf,0.0
1686273439.313581,inf,0.0
1686273439.325844,inf,0.0
1686273439.334023,inf,0.0
1686273439.346231,inf,0.0
1686273439.3544981,inf,0.0
1686273439.366724,inf,0.0
1686273439.3756428,inf,0.0
1686273439.387203,inf,0.0
1686273439.39949,inf,0.0
1686273439.407787,inf,0.0
1686273439.420052,inf,0.0
1686273439.428394,inf,0.0
1686273439.4404302,inf,0.0
1686273439.4486349,inf,0.0
1686273439.460952,inf,0.0
1686273439.4691389,inf,0.0
1686273439.4813728,inf,0.0
1686273439.4896169,inf,0.0
1686273439.502125,inf,0.0
1686273439.510164,inf,0.0
1686273439.522388,inf,0.0
1686273439.5346198,inf,0.0
1686273439.542908,inf,0.0
1686273439.5551622,inf,0.0
1686273439.563363,inf,0.0
1686273439.575626,inf,0.0
1686273439.583763,inf,0.0
1686273439.596094,inf,0.0
1686273439.6043231,inf,0.0
1686273439.616575,inf,0.0
1686273439.6248698,inf,0.0
1686273439.637104,inf,0.0
1686273439.645283,inf,0.0
1686273439.657589,inf,0.0
1686273439.665772,inf,0.0
1686273439.678045,inf,0.0
1686273439.6902988,inf,0.0
1686273439.698632,inf,0.0
1686273439.710797,inf,0.0
1686273439.71903,inf,0.0
1686273439.7313762,inf,0.0
1686273439.7395341,inf,0.0
1686273439.751694,inf,0.0
1686273439.7599301,inf,0.0
1686273439.772316,inf,0.0
1686273439.780543,inf,0.0
1686273439.792674,inf,0.0
1686273439.800951,inf,0.0
1686273439.81327,inf,0.0
1686273439.821461,inf,0.0
1686273439.833643,inf,0.0
1686273439.8459961,inf,0.0
1686273439.854153,inf,0.0
1686273439.866368,inf,0.0
1686273439.874573,inf,0.0
1686273439.8869288,inf,0.0
1686273439.895104,inf,0.0
1686273439.907372,inf,0.0
1686273439.915804,inf,0.0
1686273439.9278998,inf,0.0
1686273439.9361129,inf,0.0
1686273439.9484642,inf,0.0
1686273439.95665,inf,0.0
1686273439.969053,inf,0.0
1686273439.981132,inf,0.0
1686273439.9893298,inf,0.0
1686273440.00159,inf,0.0
1686273440.01002,inf,0.0
1686273440.02219,inf,0.0
1686273440.0302541,inf,0.0
1686273440.0425699,inf,0.0
1686273440.05134,inf,0.0
1686273440.063135,inf,0.0
1686273440.071342,inf,0.0
1686273440.0834692,inf,0.0
1686273440.091701,inf,0.0
1686273440.1040199,inf,0.0
1686273440.1121438,inf,0.0
1686273440.1246011,inf,0.0
1686273440.136866,inf,0.0
1686273440.145301,inf,0.0
1686273440.1572149,inf,0.0
1686273440.16549,inf,0.0
1686273440.1777868,inf,0.0
1686273440.185979,inf,0.0
