Timestamp,Resistance (Ohms),Force (g)
1686273775.137334,inf,0.0
1686273775.138839,inf,0.0
1686273775.139848,inf,0.0
1686273775.140414,inf,0.0
1686273775.140764,inf,0.0
1686273775.141213,inf,0.0
1686273775.141531,inf,0.0
1686273775.142004,inf,0.0
1686273775.142376,inf,0.0
1686273775.1427279,inf,0.0
1686273775.143025,inf,0.0
1686273775.143326,inf,0.0
1686273775.143626,inf,0.0
1686273775.143898,inf,0.0
1686273775.144137,inf,0.0
1686273775.144364,inf,0.0
1686273775.1446242,inf,0.0
1686273775.144883,inf,0.0
1686273775.1451268,inf,0.0
1686273775.145401,inf,0.0
1686273775.145783,inf,0.0
1686273775.146077,inf,0.0
1686273775.146324,inf,0.0
1686273775.146562,inf,0.0
1686273775.146796,inf,0.0
1686273775.1470542,inf,0.0
1686273775.1473331,inf,0.0
1686273775.147578,inf,0.0
1686273775.147844,inf,0.0
1686273775.1480992,inf,0.0
1686273775.1483352,inf,0.0
1686273775.148569,inf,0.0
1686273775.1488059,inf,0.0
1686273775.149069,inf,0.0
1686273775.1493812,inf,0.0
1686273775.149632,inf,0.0
1686273775.149887,inf,0.0
1686273775.150132,inf,0.0
1686273775.150372,inf,0.0
1686273775.1506078,inf,0.0
1686273775.150816,inf,0.0
1686273775.151031,inf,0.0
1686273775.15125,inf,0.0
1686273775.151555,inf,0.0
1686273775.151794,inf,0.0
1686273775.1520278,inf,0.0
1686273775.152272,inf,0.0
1686273775.152531,inf,0.0
1686273775.152788,inf,0.0
1686273775.153025,inf,0.0
1686273775.153257,inf,0.0
1686273775.163221,inf,0.0
1686273775.1714308,inf,0.0
1686273775.183629,inf,0.0
1686273775.191844,inf,0.0
1686273775.204098,inf,0.0
1686273775.216405,inf,0.0
1686273775.224618,inf,0.0
1686273775.237092,inf,0.0
1686273775.2453709,inf,0.0
1686273775.257428,inf,0.0
1686273775.265538,inf,0.0
1686273775.277805,inf,0.0
1686273775.286023,inf,0.0
1686273775.298261,inf,0.0
1686273775.30658,inf,0.0
1686273775.31887,inf,0.0
1686273775.327029,inf,0.0
1686273775.3393059,inf,0.0
1686273775.351597,inf,0.0
1686273775.359723,inf,0.0
1686273775.372064,inf,0.0
1686273775.3803031,inf,0.0
1686273775.39249,inf,0.0
1686273775.4006872,inf,0.0
1686273775.412875,inf,0.0
1686273775.421136,inf,0.0
1686273775.433463,inf,0.0
1686273775.441696,inf,0.0
1686273775.454005,inf,0.0
1686273775.462136,inf,0.0
1686273775.474376,inf,0.0
1686273775.4826381,inf,0.0
1686273775.495168,inf,0.0
1686273775.507188,inf,0.0
1686273775.515411,inf,0.0
1686273775.527673,inf,0.0
1686273775.535866,inf,0.0
1686273775.548084,inf,0.0
1686273775.556291,inf,0.0
1686273775.568556,inf,0.0
1686273775.576763,inf,0.0
1686273775.589043,inf,0.0
1686273775.597265,inf,0.0
1686273775.609646,inf,0.0
1686273775.6178381,inf,0.0
1686273775.630014,inf,0.0
1686273775.638203,inf,0.0
1686273775.6506429,inf,0.0
1686273775.662894,inf,0.0
1686273775.671017,inf,0.0
1686273775.683342,inf,0.0
1686273775.691503,inf,0.0
1686273775.703727,inf,0.0
1686273775.71202,inf,0.0
1686273775.724284,inf,0.0
1686273775.7325802,inf,0.0
1686273775.7448041,inf,0.0
1686273775.752928,inf,0.0
1686273775.7651432,inf,0.0
1686273775.77337,inf,0.0
1686273775.786358,inf,0.0
1686273775.7981818,inf,0.0
1686273775.8062851,inf,0.0
1686273775.81846,inf,0.0
1686273775.826925,inf,0.0
1686273775.838926,inf,0.0
1686273775.847182,inf,0.0
1686273775.85936,inf,0.0
1686273775.867649,inf,0.0
1686273775.8798451,inf,0.0
1686273775.888088,inf,0.0
1686273775.900341,inf,0.0
1686273775.9088252,inf,0.0
1686273775.920835,inf,0.0
1686273775.9292831,inf,0.0
1686273775.9415722,inf,0.0
1686273775.953662,inf,0.0
1686273775.961828,inf,0.0
1686273775.974091,inf,0.0
1686273775.982293,inf,0.0
1686273775.994621,inf,0.0
1686273776.002769,inf,0.0
1686273776.015073,inf,0.0
1686273776.023624,inf,0.0
1686273776.035667,inf,0.0
1686273776.043766,inf,0.0
1686273776.0560188,inf,0.0
1686273776.064239,inf,0.0
1686273776.0765162,inf,0.0
1686273776.084695,inf,0.0
1686273776.0969899,inf,0.0
1686273776.109214,inf,0.0
1686273776.117485,inf,0.0
1686273776.1297312,inf,0.0
1686273776.1379452,inf,0.0
1686273776.1503859,inf,0.0
1686273776.158496,inf,0.0
1686273776.1710541,inf,0.0
1686273776.1791942,inf,0.0
1686273776.191199,inf,0.0
1686273776.199407,inf,0.0
1686273776.2117739,inf,0.0
1686273776.2199192,inf,0.0
1686273776.2321181,inf,0.0
1686273776.2446961,inf,0.0
1686273776.252643,inf,0.0
1686273776.264931,inf,0.0
1686273776.273176,inf,0.0
1686273776.285366,inf,0.0
1686273776.293557,inf,0.0
1686273776.305835,inf,0.0
1686273776.3140779,inf,0.0
1686273776.3263302,inf,0.0
1686273776.334597,inf,0.0
1686273776.3468008,inf,0.0
1686273776.3550038,inf,0.0
1686273776.3673,inf,0.0
1686273776.375527,inf,0.0
1686273776.387777,inf,0.0
1686273776.400008,inf,0.0
1686273776.408847,inf,0.0
1686273776.4206212,inf,0.0
1686273776.428826,inf,0.0
1686273776.441466,inf,0.0
1686273776.449269,inf,0.0
1686273776.461449,inf,0.0
1686273776.469686,inf,0.0
1686273776.4819891,inf,0.0
1686273776.49032,inf,0.0
1686273776.502483,inf,0.0
1686273776.5106869,inf,0.0
1686273776.5229282,inf,0.0
1686273776.5351748,inf,0.0
1686273776.543371,inf,0.0
1686273776.555685,inf,0.0
1686273776.564128,inf,0.0
1686273776.5762691,inf,0.0
1686273776.5845041,inf,0.0
1686273776.59658,inf,0.0
1686273776.6048949,inf,0.0
1686273776.617148,inf,0.0
1686273776.6252859,inf,0.0
1686273776.637641,inf,0.0
1686273776.645797,inf,0.0
1686273776.6580951,inf,0.0
1686273776.666315,inf,0.0
1686273776.6785579,inf,0.0
1686273776.690847,inf,0.0
1686273776.699007,inf,0.0
1686273776.711541,inf,0.0
1686273776.719539,inf,0.0
1686273776.73188,inf,0.0
1686273776.740004,inf,0.0
1686273776.752203,inf,0.0
1686273776.760442,inf,0.0
1686273776.772748,inf,0.0
1686273776.781024,inf,0.0
1686273776.793273,inf,0.0
1686273776.8017,inf,0.0
1686273776.8137379,inf,0.0
1686273776.8219452,inf,0.0
1686273776.834239,inf,0.0
1686273776.8465438,inf,0.0
1686273776.8547,inf,0.0
1686273776.8669472,inf,0.0
1686273776.875176,inf,0.0
1686273776.887678,inf,0.0
1686273776.895799,inf,0.0
1686273776.907956,inf,0.0
1686273776.916268,inf,0.0
1686273776.9283898,inf,0.0
1686273776.9367628,inf,0.0
1686273776.9488919,inf,0.0
1686273776.9570749,inf,0.0
1686273776.9699001,inf,0.0
