Timestamp,Resistance (Ohms),Force (g)
1686274182.943282,inf,0.0
1686274182.9441762,inf,0.0
1686274182.9445288,inf,0.0
1686274182.944812,inf,0.0
1686274182.94512,inf,0.0
1686274182.94549,inf,0.0
1686274182.945753,inf,0.0
1686274182.946065,inf,0.0
1686274182.9465759,inf,0.0
1686274182.9469,inf,0.0
1686274182.9471118,inf,0.0
1686274182.947341,inf,0.0
1686274182.9475358,inf,0.0
1686274182.947768,inf,0.0
1686274182.948264,inf,0.0
1686274182.948559,inf,0.0
1686274182.948731,inf,0.0
1686274182.948896,inf,0.0
1686274182.949096,inf,0.0
1686274182.949415,inf,0.0
1686274182.9496472,inf,0.0
1686274182.949804,inf,0.0
1686274182.9499578,inf,0.0
1686274182.950111,inf,0.0
1686274182.950258,inf,0.0
1686274182.9504268,inf,0.0
1686274182.9505851,inf,0.0
1686274182.9507442,inf,0.0
1686274182.9509819,inf,0.0
1686274182.9511712,inf,0.0
1686274182.951336,inf,0.0
1686274182.951493,inf,0.0
1686274182.951657,inf,0.0
1686274182.9518578,inf,0.0
1686274182.952051,inf,0.0
1686274182.952211,inf,0.0
1686274182.952371,inf,0.0
1686274182.952523,inf,0.0
1686274182.9526982,inf,0.0
1686274182.952883,inf,0.0
1686274182.953054,inf,0.0
1686274182.953218,inf,0.0
1686274182.953388,inf,0.0
1686274182.953556,inf,0.0
1686274182.9537852,inf,0.0
1686274182.9539871,inf,0.0
1686274182.9541461,inf,0.0
1686274182.954304,inf,0.0
1686274182.954477,inf,0.0
1686274182.954638,inf,0.0
1686274182.95991,inf,0.0
1686274182.968302,inf,0.0
1686274182.9806988,inf,0.0
1686274182.988647,inf,0.0
1686274183.000909,inf,0.0
1686274183.009087,inf,0.0
1686274183.021442,inf,0.0
1686274183.029851,inf,0.0
1686274183.0419872,inf,0.0
1686274183.0500631,inf,0.0
1686274183.062418,inf,0.0
1686274183.0705438,inf,0.0
1686274183.0828512,inf,0.0
1686274183.091056,inf,0.0
1686274183.103372,inf,0.0
1686274183.115794,inf,0.0
1686274183.12381,inf,0.0
1686274183.136064,inf,0.0
1686274183.144223,inf,0.0
1686274183.1565351,inf,0.0
1686274183.164764,inf,0.0
1686274183.177004,inf,0.0
1686274183.185218,inf,0.0
1686274183.197566,inf,0.0
1686274183.205706,inf,0.0
1686274183.217995,inf,0.0
1686274183.2263029,inf,0.0
1686274183.238536,inf,0.0
1686274183.246788,inf,0.0
1686274183.25914,inf,0.0
1686274183.271341,inf,0.0
1686274183.27942,inf,0.0
1686274183.291702,inf,0.0
1686274183.299907,inf,0.0
1686274183.3122509,inf,0.0
1686274183.320344,inf,0.0
1686274183.33266,inf,0.0
1686274183.340957,inf,0.0
1686274183.353225,inf,0.0
1686274183.3614469,inf,0.0
1686274183.373632,inf,0.0
1686274183.3818932,inf,0.0
1686274183.394093,inf,0.0
1686274183.406525,inf,0.0
1686274183.414581,inf,0.0
1686274183.426832,inf,0.0
1686274183.435029,inf,0.0
1686274183.4473019,inf,0.0
1686274183.4555252,inf,0.0
1686274183.4679198,inf,0.0
1686274183.476133,inf,0.0
1686274183.488469,inf,0.0
1686274183.496515,inf,0.0
1686274183.508825,inf,0.0
1686274183.517345,inf,0.0
1686274183.529386,inf,0.0
1686274183.537486,inf,0.0
1686274183.549709,inf,0.0
1686274183.561993,inf,0.0
1686274183.5703092,inf,0.0
1686274183.5825112,inf,0.0
1686274183.590679,inf,0.0
1686274183.602968,inf,0.0
1686274183.611288,inf,0.0
1686274183.623476,inf,0.0
