Timestamp,Resistance (Ohms),Force (g)
1686272891.886912,inf,0.0
1686272891.887842,inf,0.0
1686272891.88834,inf,0.0
1686272891.888772,inf,0.0
1686272891.889159,inf,0.0
1686272891.889772,inf,0.0
1686272891.890347,inf,0.0
1686272891.890904,inf,0.0
1686272891.891337,inf,0.0
1686272891.891636,inf,0.0
1686272891.8919759,inf,0.0
1686272891.8923311,inf,0.0
1686272891.8927412,inf,0.0
1686272891.893085,inf,0.0
1686272891.8933702,inf,0.0
1686272891.893722,inf,0.0
1686272891.894042,inf,0.0
1686272891.894295,inf,0.0
1686272891.894567,inf,0.0
1686272891.8948421,inf,0.0
1686272891.895083,inf,0.0
1686272891.895403,inf,0.0
1686272891.8956642,inf,0.0
1686272891.895896,inf,0.0
1686272891.8961768,inf,0.0
1686272891.896439,inf,0.0
1686272891.896706,inf,0.0
1686272891.8969972,inf,0.0
1686272891.897373,inf,0.0
1686272891.897641,inf,0.0
1686272891.897907,inf,0.0
1686272891.898158,inf,0.0
1686272891.898419,inf,0.0
1686272891.898669,inf,0.0
1686272891.898904,inf,0.0
1686272891.899149,inf,0.0
1686272891.8993862,inf,0.0
1686272891.899631,inf,0.0
1686272891.899929,inf,0.0
1686272891.9001348,inf,0.0
1686272891.900366,inf,0.0
1686272891.900768,inf,0.0
1686272891.9010549,inf,0.0
1686272891.901353,inf,0.0
1686272891.9017,inf,0.0
1686272891.901956,inf,0.0
1686272891.902158,inf,0.0
1686272891.90258,inf,0.0
1686272891.902851,inf,0.0
1686272891.903064,inf,0.0
1686272891.903274,inf,0.0
1686272891.9061801,inf,0.0
1686272891.918622,inf,0.0
1686272891.930898,inf,0.0
1686272891.939169,inf,0.0
1686272891.951401,inf,0.0
1686272891.960138,inf,0.0
1686272891.971873,inf,0.0
1686272891.980059,inf,0.0
1686272891.9923542,inf,0.0
1686272892.0005271,inf,0.0
1686272892.012792,inf,0.0
1686272892.021059,inf,0.0
1686272892.033346,inf,0.0
1686272892.041481,inf,0.0
1686272892.053741,inf,0.0
1686272892.0619462,inf,0.0
1686272892.0745962,inf,0.0
1686272892.086528,inf,0.0
1686272892.0946891,inf,0.0
1686272892.10704,inf,0.0
1686272892.115179,inf,0.0
1686272892.127396,inf,0.0
1686272892.135594,inf,0.0
1686272892.147955,inf,0.0
1686272892.156459,inf,0.0
1686272892.1684449,inf,0.0
1686272892.1765702,inf,0.0
1686272892.188931,inf,0.0
1686272892.1971729,inf,0.0
1686272892.209504,inf,0.0
1686272892.217697,inf,0.0
1686272892.229991,inf,0.0
1686272892.242223,inf,0.0
1686272892.250489,inf,0.0
1686272892.262618,inf,0.0
1686272892.270868,inf,0.0
1686272892.28319,inf,0.0
1686272892.291557,inf,0.0
1686272892.303776,inf,0.0
1686272892.3117921,inf,0.0
1686272892.324111,inf,0.0
1686272892.33234,inf,0.0
1686272892.344779,inf,0.0
1686272892.352742,inf,0.0
1686272892.3650079,inf,0.0
1686272892.377297,inf,0.0
1686272892.385538,inf,0.0
1686272892.397779,inf,0.0
1686272892.405988,inf,0.0
1686272892.418284,inf,0.0
1686272892.4264698,inf,0.0
1686272892.4387221,inf,0.0
1686272892.446889,inf,0.0
1686272892.459231,inf,0.0
1686272892.467424,inf,0.0
1686272892.479712,inf,0.0
1686272892.487859,inf,0.0
1686272892.5001972,inf,0.0
1686272892.508498,inf,0.0
1686272892.52069,inf,0.0
1686272892.532955,inf,0.0
1686272892.541226,inf,0.0
1686272892.553504,inf,0.0
1686272892.561683,inf,0.0
1686272892.5740108,inf,0.0
1686272892.582102,inf,0.0
1686272892.594422,inf,0.0
1686272892.6026502,inf,0.0
1686272892.614901,inf,0.0
1686272892.623158,inf,0.0
1686272892.635378,inf,0.0
1686272892.6435552,inf,0.0
1686272892.655869,inf,0.0
1686272892.664017,inf,0.0
1686272892.6763442,inf,0.0
1686272892.688577,inf,0.0
1686272892.6968598,inf,0.0
1686272892.709086,inf,0.0
1686272892.71728,inf,0.0
1686272892.7295349,inf,0.0
1686272892.7377658,inf,0.0
1686272892.7501419,inf,0.0
1686272892.758369,inf,0.0
1686272892.770518,inf,0.0
1686272892.778722,inf,0.0
1686272892.7910972,inf,0.0
1686272892.7992918,inf,0.0
1686272892.811448,inf,0.0
1686272892.823772,inf,0.0
1686272892.8319738,inf,0.0
1686272892.844202,inf,0.0
1686272892.852491,inf,0.0
1686272892.8647602,inf,0.0
1686272892.872925,inf,0.0
1686272892.8852322,inf,0.0
1686272892.893492,inf,0.0
1686272892.90568,inf,0.0
1686272892.913954,inf,0.0
1686272892.926208,inf,0.0
1686272892.9343941,inf,0.0
1686272892.946657,inf,0.0
1686272892.954876,inf,0.0
1686272892.967214,inf,0.0
1686272892.979455,inf,0.0
1686272892.987621,inf,0.0
1686272892.99998,inf,0.0
1686272893.008173,inf,0.0
1686272893.020363,inf,0.0
1686272893.0287008,inf,0.0
1686272893.0408902,inf,0.0
1686272893.0493681,inf,0.0
1686272893.0614111,inf,0.0
1686272893.069609,inf,0.0
1686272893.081867,inf,0.0
1686272893.090014,inf,0.0
1686272893.10236,inf,0.0
1686272893.114632,inf,0.0
1686272893.122808,inf,0.0
1686272893.135065,inf,0.0
1686272893.143284,inf,0.0
1686272893.1555462,inf,0.0
1686272893.163702,inf,0.0
1686272893.1761029,inf,0.0
1686272893.1842718,inf,0.0
1686272893.19646,inf,0.0
1686272893.204621,inf,0.0
1686272893.217029,inf,0.0
1686272893.225236,inf,0.0
1686272893.2374861,inf,0.0
1686272893.2456698,inf,0.0
1686272893.257994,inf,0.0
1686272893.270234,inf,0.0
1686272893.2787032,inf,0.0
1686272893.290669,inf,0.0
1686272893.298922,inf,0.0
1686272893.3111491,inf,0.0
1686272893.319338,inf,0.0
1686272893.331658,inf,0.0
1686272893.339869,inf,0.0
1686272893.35219,inf,0.0
1686272893.360388,inf,0.0
1686272893.372601,inf,0.0
1686272893.380827,inf,0.0
1686272893.3933,inf,0.0
1686272893.4013472,inf,0.0
1686272893.413547,inf,0.0
1686272893.4260511,inf,0.0
1686272893.434057,inf,0.0
1686272893.446338,inf,0.0
1686272893.4546208,inf,0.0
1686272893.4670131,inf,0.0
1686272893.475113,inf,0.0
1686272893.487424,inf,0.0
1686272893.495698,inf,0.0
1686272893.507852,inf,0.0
1686272893.516105,inf,0.0
1686272893.528288,inf,0.0
1686272893.536479,inf,0.0
1686272893.5487208,inf,0.0
1686272893.560991,inf,0.0
1686272893.56932,inf,0.0
1686272893.58145,inf,0.0
1686272893.589665,inf,0.0
1686272893.6020322,inf,0.0
1686272893.610178,inf,0.0
1686272893.622486,inf,0.0
1686272893.63065,inf,0.0
1686272893.642965,inf,0.0
1686272893.651351,inf,0.0
1686272893.6633852,inf,0.0
1686272893.671573,inf,0.0
1686272893.683923,inf,0.0
1686272893.692097,inf,0.0
1686272893.70434,inf,0.0
1686272893.716774,inf,0.0
1686272893.7248828,inf,0.0
1686272893.737247,inf,0.0
1686272893.7453299,inf,0.0
1686272893.7576299,inf,0.0
1686272893.7657979,inf,0.0
1686272893.778167,inf,0.0
1686272893.7863302,inf,0.0
1686272893.798649,inf,0.0
1686272893.8068218,inf,0.0
1686272893.8192792,inf,0.0
1686272893.827256,inf,0.0
1686272893.839554,inf,0.0
1686272893.851824,inf,0.0
1686272893.860016,inf,0.0
1686272893.872266,inf,0.0
1686272893.8804328,inf,0.0
1686272893.8927941,inf,0.0
1686272893.9010198,inf,0.0
1686272893.913227,inf,0.0
1686272893.921483,inf,0.0
1686272893.9337862,inf,0.0
1686272893.941984,inf,0.0
1686272893.954297,inf,0.0
1686272893.9624362,inf,0.0
1686272893.974762,inf,0.0
1686272893.982955,inf,0.0
1686272893.99525,inf,0.0
1686272894.0075881,inf,0.0
1686272894.015678,inf,0.0
1686272894.027906,inf,0.0
1686272894.036148,inf,0.0
1686272894.048486,inf,0.0
1686272894.0565782,inf,0.0
1686272894.069081,inf,0.0
1686272894.077278,inf,0.0
1686272894.089378,inf,0.0
1686272894.097527,inf,0.0
1686272894.110052,inf,0.0
1686272894.118094,inf,0.0
1686272894.130313,inf,0.0
1686272894.1384299,inf,0.0
1686272894.150867,inf,0.0
1686272894.1630368,inf,0.0
1686272894.171218,inf,0.0
1686272894.183582,inf,0.0
1686272894.1920488,inf,0.0
1686272894.203994,inf,0.0
1686272894.212277,inf,0.0
1686272894.22456,inf,0.0
1686272894.232724,inf,0.0
1686272894.2450151,inf,0.0
1686272894.253258,inf,0.0
1686272894.265633,inf,0.0
1686272894.273707,inf,0.0
1686272894.2860212,inf,0.0
1686272894.298233,inf,0.0
1686272894.306495,inf,0.0
1686272894.318721,inf,0.0
1686272894.3269498,inf,0.0
1686272894.339326,inf,0.0
1686272894.34732,inf,0.0
1686272894.359701,inf,0.0
1686272894.3680792,inf,0.0
1686272894.380215,inf,0.0
1686272894.38832,inf,0.0
1686272894.4006321,inf,0.0
1686272894.4089642,inf,0.0
1686272894.421101,inf,0.0
1686272894.429388,inf,0.0
1686272894.441649,inf,0.0
1686272894.454124,inf,0.0
1686272894.46206,inf,0.0
1686272894.4743822,inf,0.0
1686272894.4825852,inf,0.0
1686272894.494808,inf,0.0
1686272894.5030951,inf,0.0
1686272894.515451,inf,0.0
1686272894.523681,inf,0.0
1686272894.535891,inf,0.0
1686272894.5441432,inf,0.0
1686272894.556316,inf,0.0
1686272894.5645099,inf,0.0
1686272894.576891,inf,0.0
1686272894.584991,inf,0.0
1686272894.597288,inf,0.0
1686272894.609618,inf,0.0
1686272894.6178591,inf,0.0
1686272894.629979,inf,0.0
1686272894.638186,inf,0.0
1686272894.650608,inf,0.0
1686272894.658703,inf,0.0
1686272894.670936,inf,0.0
1686272894.679106,inf,0.0
1686272894.6915689,inf,0.0
1686272894.69972,inf,0.0
1686272894.711879,inf,0.0
1686272894.720171,inf,0.0
1686272894.732468,inf,0.0
1686272894.744756,inf,0.0
1686272894.752958,inf,0.0
1686272894.765163,inf,0.0
1686272894.773366,inf,0.0
1686272894.7858078,inf,0.0
1686272894.794013,inf,0.0
1686272894.8061209,inf,0.0
1686272894.814379,inf,0.0
1686272894.826758,inf,0.0
1686272894.835071,inf,0.0
1686272894.847121,inf,0.0
1686272894.855272,inf,0.0
1686272894.867614,inf,0.0
1686272894.875814,inf,0.0
1686272894.8880482,inf,0.0
1686272894.9003341,inf,0.0
1686272894.908649,inf,0.0
1686272894.921089,inf,0.0
1686272894.929197,inf,0.0
1686272894.941443,inf,0.0
1686272894.949475,inf,0.0
1686272894.961867,inf,0.0
1686272894.9700181,inf,0.0
1686272894.982354,inf,0.0
1686272894.9905438,inf,0.0
1686272895.00268,inf,0.0
1686272895.011038,inf,0.0
1686272895.023248,inf,0.0
1686272895.035715,inf,0.0
1686272895.043981,inf,0.0
1686272895.055938,inf,0.0
1686272895.06421,inf,0.0
1686272895.076709,inf,0.0
1686272895.084647,inf,0.0
1686272895.096944,inf,0.0
1686272895.105142,inf,0.0
1686272895.11745,inf,0.0
1686272895.12562,inf,0.0
1686272895.1379359,inf,0.0
1686272895.146207,inf,0.0
1686272895.158575,inf,0.0
1686272895.1665869,inf,0.0
1686272895.178947,inf,0.0
1686272895.191154,inf,0.0
1686272895.199442,inf,0.0
1686272895.211641,inf,0.0
1686272895.219886,inf,0.0
1686272895.2323918,inf,0.0
1686272895.240331,inf,0.0
1686272895.2527921,inf,0.0
1686272895.2607622,inf,0.0
1686272895.273008,inf,0.0
1686272895.281218,inf,0.0
1686272895.293772,inf,0.0
1686272895.301787,inf,0.0
1686272895.3140428,inf,0.0
1686272895.322091,inf,0.0
1686272895.3347058,inf,0.0
1686272895.346737,inf,0.0
1686272895.354882,inf,0.0
1686272895.367247,inf,0.0
1686272895.375524,inf,0.0
1686272895.3876412,inf,0.0
1686272895.395919,inf,0.0
1686272895.408258,inf,0.0
1686272895.416496,inf,0.0
1686272895.4286652,inf,0.0
1686272895.43678,inf,0.0
1686272895.4491498,inf,0.0
1686272895.457417,inf,0.0
1686272895.469642,inf,0.0
1686272895.481932,inf,0.0
1686272895.490101,inf,0.0
1686272895.5023959,inf,0.0
1686272895.5106869,inf,0.0
1686272895.522898,inf,0.0
1686272895.5310552,inf,0.0
1686272895.543624,inf,0.0
1686272895.551541,inf,0.0
1686272895.5639071,inf,0.0
1686272895.5719821,inf,0.0
1686272895.584453,inf,0.0
1686272895.592541,inf,0.0
1686272895.6047292,inf,0.0
1686272895.6129332,inf,0.0
1686272895.625545,inf,0.0
1686272895.637631,inf,0.0
1686272895.645708,inf,0.0
1686272895.658049,inf,0.0
1686272895.66626,inf,0.0
1686272895.678436,inf,0.0
1686272895.6868322,inf,0.0
1686272895.69912,inf,0.0
1686272895.707287,inf,0.0
1686272895.719892,inf,0.0
1686272895.727762,inf,0.0
1686272895.740031,inf,0.0
1686272895.7482529,inf,0.0
1686272895.7604969,inf,0.0
1686272895.7727518,inf,0.0
1686272895.780946,inf,0.0
1686272895.7932348,inf,0.0
1686272895.801384,inf,0.0
1686272895.8136919,inf,0.0
1686272895.821773,inf,0.0
1686272895.834178,inf,0.0
1686272895.842365,inf,0.0
1686272895.854593,inf,0.0
1686272895.8628201,inf,0.0
1686272895.8751638,inf,0.0
1686272895.883341,inf,0.0
1686272895.8955898,inf,0.0
1686272895.9038348,inf,0.0
1686272895.916211,inf,0.0
1686272895.9284391,inf,0.0
1686272895.936697,inf,0.0
1686272895.9488692,inf,0.0
1686272895.9570901,inf,0.0
1686272895.9695811,inf,0.0
1686272895.977577,inf,0.0
1686272895.989886,inf,0.0
1686272895.998153,inf,0.0
1686272896.0103412,inf,0.0
1686272896.01855,inf,0.0
1686272896.030963,inf,0.0
1686272896.0389829,inf,0.0
1686272896.051309,inf,0.0
1686272896.0595431,inf,0.0
1686272896.071828,inf,0.0
1686272896.084024,inf,0.0
1686272896.092352,inf,0.0
1686272896.104583,inf,0.0
1686272896.112905,inf,0.0
1686272896.1253152,inf,0.0
1686272896.133228,inf,0.0
1686272896.145694,inf,0.0
1686272896.1538801,inf,0.0
1686272896.165954,inf,0.0
1686272896.174308,inf,0.0
1686272896.1863968,inf,0.0
1686272896.194703,inf,0.0
1686272896.2069619,inf,0.0
1686272896.219177,inf,0.0
1686272896.227642,inf,0.0
1686272896.2396648,inf,0.0
1686272896.247782,inf,0.0
1686272896.260194,inf,0.0
1686272896.2683752,inf,0.0
1686272896.2806091,inf,0.0
1686272896.288928,inf,0.0
1686272896.301174,inf,0.0
1686272896.309345,inf,0.0
1686272896.321544,inf,0.0
1686272896.329715,inf,0.0
1686272896.342209,inf,0.0
1686272896.350315,inf,0.0
1686272896.362779,inf,0.0
1686272896.374908,inf,0.0
1686272896.383051,inf,0.0
1686272896.395607,inf,0.0
1686272896.403549,inf,0.0
1686272896.415786,inf,0.0
1686272896.424012,inf,0.0
1686272896.436468,inf,0.0
1686272896.4447591,inf,0.0
1686272896.4567628,inf,0.0
1686272896.464938,inf,0.0
1686272896.4774551,inf,0.0
1686272896.4854872,inf,0.0
1686272896.497845,inf,0.0
1686272896.5100029,inf,0.0
1686272896.518334,inf,0.0
1686272896.5304708,inf,0.0
1686272896.5386329,inf,0.0
1686272896.551093,inf,0.0
1686272896.55912,inf,0.0
1686272896.571396,inf,0.0
1686272896.5795898,inf,0.0
1686272896.5919302,inf,0.0
1686272896.600162,inf,0.0
1686272896.61257,inf,0.0
1686272896.620644,inf,0.0
1686272896.632867,inf,0.0
1686272896.641052,inf,0.0
1686272896.653559,inf,0.0
1686272896.665647,inf,0.0
1686272896.673884,inf,0.0
1686272896.686347,inf,0.0
1686272896.694368,inf,0.0
1686272896.70658,inf,0.0
1686272896.714785,inf,0.0
1686272896.727221,inf,0.0
1686272896.735561,inf,0.0
1686272896.7475479,inf,0.0
1686272896.755724,inf,0.0
1686272896.768065,inf,0.0
1686272896.776287,inf,0.0
1686272896.788525,inf,0.0
1686272896.796702,inf,0.0
1686272896.809063,inf,0.0
1686272896.821289,inf,0.0
1686272896.8295739,inf,0.0
1686272896.841723,inf,0.0
1686272896.849986,inf,0.0
1686272896.862445,inf,0.0
1686272896.8707168,inf,0.0
1686272896.8827221,inf,0.0
1686272896.89095,inf,0.0
1686272896.903237,inf,0.0
1686272896.91144,inf,0.0
1686272896.9236732,inf,0.0
1686272896.931793,inf,0.0
1686272896.944221,inf,0.0
1686272896.9563892,inf,0.0
1686272896.964562,inf,0.0
1686272896.977251,inf,0.0
1686272896.985148,inf,0.0
1686272896.997439,inf,0.0
1686272897.0056021,inf,0.0
1686272897.018168,inf,0.0
1686272897.02622,inf,0.0
1686272897.0383308,inf,0.0
1686272897.0466182,inf,0.0
