Timestamp,Resistance (Ohms),Force (g)
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273072,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273073,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273074,inf,0
1686273075,inf,0
